name,status,representative,capital,date,code,phone,email,address,risk,scope,former,category
晋城市长江工程机械销售服务有限公司,存续,张英,500万元人民币,2001-09-03,911405007296868281,0356-2192121,694667677@qq.com,山西省晋城开发区东城路西(二水厂对面),1 条自身风险,汽车及配件、工程机械、矿山机电、电子产品、汽车配件、园林机械、,晋城市长江运业有限公司,服务单位
name,status,representative,capital,date,code,phone,email,address,risk,scope,former,category
赤峰艳泽机械设备有限公司,存续,赵清艳,5000万元人民币,2004-05-25,91150404761079307D,0476-8771986,1724795943@qq.com,内蒙古自治区赤峰市银河路向阳小区五组团28号厅,未找到,未找到,未找到,服务单位
黑龙江省徐工振坤工程机械有限公司,存续,王刚,2000万元人民币,2011-04-18,912301995719101204,0451-86537857,xgzk1204@163.com,哈尔滨市哈南工业新城核心区哈南一路10号,未找到,未找到,未找到,服务单位
北京瑞泰达机械设备有限责任公司,存续,荆雅君,564万元人民币,1999-08-17,91110105717765828M,010-67477956,1043998964@qq.com,北京市朝阳区东四环南路53号院4号楼7层810,2 条自身风险,销售机械设备、汽车、汽车配件、电器设备、建筑材料、商用车及九座以上乘用车,未找到,服务单位
天津市塘沽徐工机电有限公司,存续,马晓东,1020万元人民币,2001-04-25,91120116727511434Y,022-66316589,565618363@qq.com,天津市滨海新区塘沽车站北路360底商,未找到,未找到,未找到,服务单位
天津市实维工程机械技术有限公司,存续,孙凤玉,2000万元人民币,1999-03-29,91120116712860674L,13207552596,77533477@qq.com,华苑产业区海泰发展六道6号海泰绿色产业基地A1座4-034室,未找到,未找到,未找到,服务单位
太原市鑫进工程机械有限公司,存续,李美华,1000万元人民币,2012-09-05,91140100051998237B,0351-6597708,1809656946@qq.com,太原市万柏林区东社村村委会办公楼北侧商铺,未找到,未找到,未找到,服务单位
晋城市长江工程机械销售服务有限公司,存续,张英,500万元人民币,2001-09-03,911405007296868281,0356-2192121,694667677@qq.com,山西省晋城开发区东城路西(二水厂对面),1 条自身风险,汽车及配件、工程机械、矿山机电、电子产品、汽车配件、园林机械、,晋城市长江运业有限公司,服务单位
山西宝瑞丰商贸有限公司,存续,田秀峰,600万元人民币,2012-08-06,911401000519661989,13803405290,lwhhpy@126.com,太原市小店区并州南路西一巷60号1幢6号,未找到,未找到,未找到,服务单位
山东中凯工贸有限责任公司,在业,杨风刚,500万元人民币,2008-08-04,913709006781411736,0538-6621899,sdjwjx@163.com,山东省泰安市泰山青春创业开发区希望路北首,1 条自身风险,未找到,未找到,服务单位
河南路友机械设备有限公司,存续,魏珂,1000万元人民币,2017-08-01,91410105MA447WQD5U,0371-56155657,1294476785@qq.com,郑州市金水区花园路62号16号楼东单元0902号,1 条自身风险,未找到,批发兼零售:汽车零配件、家用电器、农业机械设备、电气设备;建筑工程机械设备租赁,服务单位
安徽新皖工工程机械有限公司,存续,储卫东,1000万元人民币,2014-11-10,91340100394519146W,0551-65747286,327491751@qq.com,合肥市瑶海区明光路425号商办楼二楼西,1 条自身风险,汽车及配件销售;润滑油销售;机械设备租赁;工程机械设备、五金交电,未找到,服务单位
武汉市威特工程机械有限公司,存续,刘学文,1001万元人民币,2001-11-26,9142010473108982XR,15827312506,398653011@qq.com,武汉市硚口区张公堤额头湾特3号竹叶海物流园,2 条自身风险,机电设备、机械设备、工程仪器设备、润滑油、金属材料、建筑材料、,未找到,服务单位
新疆徐工伟业工程机械有限公司,存续,李立群,1000万元人民币,2008-03-07,916501006702392809,0991-3963038,1475556115@qq.com,新疆乌鲁木齐市高新技术产业开发区(新市区)312国道乌昌路2116号,8 条自身风险,"销售:机电产品,汽车配件,工程机械,建筑机械,排灌设备,金属材料",未找到,服务单位
南阳市锐峰工程机械有限公司,存续,曲靖敏,200万元人民币,2008-04-25,91411300674130370U,0377-63560719,nyrf63560719@126.com,南阳市高新区和庄村2幢2单元201室(市政府幼儿园北隔墙),未找到,未找到,未找到,服务单位
张掖市徐工工程机械有限责任公司,存续,严振华,200万元人民币,2010-06-09,91620702556265135D,13993644847,1015087504@qq.com,甘肃省张掖市甘州区东门外1公里处,2 条自身风险,张掖市振华工程机械有限责任公司,工程机械、商用车及配件的销售、租赁*,服务单位
陕西恒达工程机械有限公司,在业,王民辉,1000万元人民币,2007-11-20,91610000667970777X,029-68756055,sx-hd66@163.com,陕西省西安市经开区凤城二路海璟国际第3幢1单元15层11515号房,2 条自身风险,市政工程、水利工程、桥梁及隧道工程、园林绿化工程、房屋建筑工程,未找到,服务单位
未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,服务单位
四平市恒瑞工程机械有限公司,存续,李健,110万元人民币,2012-10-30,9122030005407104X7,13844416379,10545091@qq.com,四平市铁东区北一经街33703号,未找到,未找到,未找到,服务单位
安阳市亚星物资有限责任公司,存续,李瑞海,50万元人民币,2003-05-20,91410503750711506H,0372-3966668,1042661200@qq.com,市人民大道东段(市质监局东侧),未找到,未找到,未找到,服务单位
达州市浩锋工程机械有限公司,存续,彭忠会,200万元人民币,2017-10-10,91511702MA64BKAK3D,0818-2532336,1290784473@QQ.COM,四川省达州市通川区西河路188号,未找到,未找到,未找到,服务单位
濮阳市腾飞工程机械有限公司,存续,王效国,500万元人民币,2007-03-28,91410900660900450L,0393-8267266,196155670@qq.com,濮阳市中原路与化丰路交叉口科技工业城院内,未找到,未找到,未找到,服务单位
南通正豪贸易有限公司,存续,陈宜平,60万元人民币,2005-05-31,913206117737988274,0513-85678355,未找到,南通市港闸区秦灶镇桥北村三组,未找到,未找到,未找到,服务单位
宁夏涛威工贸有限公司,存续,卜旭妮,200万元人民币,2022-02-25,91640400MA7J1QA312,宁夏回族自治区固原市经济开发区农资城2号商业楼105、205号营业房,未找到,未找到,未找到,未找到,未找到,服务单位
宁夏徐工鲲鹏工程机械有限公司兰州分公司,存续,张海峰,-,2019-03-27,91620123MA733ECJ9Q,15365889313,812144319@qq.com,甘肃省兰州市安宁区北滨河西路1407号立达汽配城A区21栋103,未找到,未找到,未找到,服务单位
济宁金衫工程机械有限公司,在业,梁红利,500万元人民币,2014-10-08,91370811312895894X,13791700207,511978670@qq.com,济宁市任城区美恒济宁国际汽车博览城工程机械西片区B1-1102,未找到,未找到,未找到,服务单位
广东徐工鲲鹏工程机械有限公司,在业,蒋立俏,1000万元人民币,2016-04-26,91441900MA4UNX3D2U,0769-81192893,gdxgkp@xcmg.com,广东省东莞市寮步镇寮步勤政路20号107室,未找到,未找到,未找到,服务单位
山东可为工程机械有限公司,在业,宋海山,500万元人民币,2018-05-16,91370704MA3N4RAH12,15610265889,15106366109@163.com,山东省潍坊市坊子区坊城街道长宁街以北、潍州路以西金地综合楼1号楼05,未找到,未找到,未找到,服务单位
霍林郭勒市天顺商贸有限公司,存续,赵马玲,200万元人民币,2015-11-19,91150581MA0MWB6U52,18604750468,356188651@qq.com,内蒙古自治区通辽市霍林郭勒市珠区东阳物流园区3-52,未找到,未找到,未找到,服务单位
辽宁诚玺工程机械有限公司,存续,罗华军,1000万元人民币,2017-05-26,91210105MA0U6FX59U,13804999949,13804999949@163.com,辽宁省沈阳市大东区联合路165号(7门),未找到,未找到,未找到,服务单位
临沂大周叉车有限公司,在业,王桂敏,100万元人民币,2009-09-16,91371302694442806L,15265913187,15265913187@126.com,山东省临沂市兰山区双岭路与十一路交汇往南200米路西,未找到,未找到,未找到,服务单位
上海新颀机械设备有限公司,存续,王蕾,1000万元人民币,2018-12-04,91310120MA1HQAU8XJ,13852153288,未找到,上海市嘉定工业区叶城路925号B区4幢J4750室,1 条自身风险,未找到,"机械设备的安装、维修,机械设备、叉车的租赁,货架的安装,机械设备及配件",服务单位
江西得力恒机械设备有限公司,存续,吴更华,510万元人民币,2017-03-17,91360121MA35T2LQ7D,13263007091,296272715@qq.com,江西省南昌市南昌县小蓝经济技术开发区富山五路168号江西省农机大市场2栋21室,未找到,未找到,未找到,服务单位
